Cust_id,account_length,area_code,phone_number,international_plan,Voice_mail_plan,Number_vmail_messages,Total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,churn
Cust_16,161,415,351-7269,no,Yes,33,189.7,67,56.59,317.8,97,27.01,160.6,128,7.23,5.4,9,1.46,4,TRUE
Cust_17,85,408,350-8884,no,No,0,224.4,139,33.39,280.9,90,23.88,89.3,75,4.02,13.8,4,3.73,1,FALSE
Cust_18,93,510,386-2923,no,No,0,155.1,114,32.42,218.2,111,18.55,129.6,121,5.83,8.1,3,2.19,3,FALSE
Cust_19,76,510,356-2992,no,No,0,62.4,66,32.25,212.8,65,18.09,165.7,108,7.46,10,5,2.7,1,FALSE
Cust_20,73,415,373-2782,no,No,0,183,90,38.15,159.5,88,13.56,192.8,74,8.68,13,2,3.51,1,FALSE
Cust_21,147,415,396-5800,no,No,0,81.1,117,26.37,239.7,93,20.37,208.8,133,9.4,10.6,4,2.86,0,FALSE
Cust_22,77,408,393-7984,no,No,0,124.3,89,10.61,169.9,121,14.44,209.6,64,9.43,5.7,6,1.54,5,TRUE
Cust_23,130,415,358-1958,no,Yes,39,213,112,31.11,72.9,99,6.2,181.8,78,8.18,9.5,19,2.57,0,FALSE
Cust_24,111,415,350-2565,no,No,0,134.3,103,18.77,137.3,102,11.67,189.6,105,8.53,7.7,6,2.08,2,FALSE
Cust_25,132,510,343-4696,no,No,0,190,86,13.79,245.2,72,20.84,237,115,10.67,10.3,2,2.78,0,FALSE
Cust_26,174,415,331-3698,no,No,0,84.8,76,21.13,277.1,112,23.55,250.7,115,11.28,15.5,5,4.19,3,FALSE
Cust_27,57,408,357-3817,no,No,0,226.1,115,36.21,191.1,112,16.24,182.7,115,8.22,9.5,3,2.57,0,FALSE
Cust_28,54,408,418-6412,no,No,0,212,73,22.83,155.5,100,13.22,102.1,68,4.59,14.7,4,3.97,3,FALSE
Cust_29,20,415,353-2630,no,No,0,249.6,109,32.3,258.2,84,21.95,181.5,102,8.17,6.3,6,1.7,0,FALSE
Cust_30,49,510,410-7789,no,Yes,25,176.8,117,20.28,215.1,109,18.28,178.7,90,8.04,11.1,1,3,1,FALSE
Cust_31,142,415,416-8428,no,Yes,37,220,95,14.42,136.7,63,11.62,250.5,148,11.27,14.2,6,3.83,2,FALSE
Cust_32,75,510,370-3359,no,No,0,130.8,105,38.44,201.5,107,17.13,246.2,98,11.08,10.3,5,2.78,1,FALSE
Cust_33,172,408,383-1121,no,Yes,33,203.9,121,36.04,31.2,115,2.65,293.3,78,13.2,12.6,10,3.4,3,FALSE
Cust_34,12,408,360-1596,no,No,0,140.4,118,42.43,252.4,119,21.45,280.2,90,12.61,11.8,3,3.19,1,TRUE
Cust_35,57,408,395-2854,no,No,0,126.3,94,30.06,195,75,16.58,213.5,116,9.61,8.3,4,2.24,0,FALSE
Cust_36,72,415,362-1407,no,Yes,41,173.1,80,37.4,217.3,102,18.47,152.8,71,6.88,14.7,6,3.97,3,FALSE
Cust_37,36,408,341-9764,no,No,0,124.8,"""N/A""",24.87,162.5,80,13.81,129.3,109,5.82,14.5,6,3.92,0,FALSE
Cust_38,78,415,353-3305,no,No,0,85.8,"""N/A""",22.24,223.7,116,19.01,227.8,108,10.25,10,5,2.7,1,FALSE
Cust_39,136,415,402-1381,yes,No,0,154,"""N/A""",34.66,187.6,99,15.95,101.7,107,4.58,10.5,6,2.84,3,FALSE
Cust_40,149,408,332-9891,no,Yes,28,120.9,"""N/A""",23.87,271.8,92,23.1,188.3,108,8.47,11.1,9,3,1,FALSE
Cust_41,98,408,372-9976,no,No,0,187,"""N/A""",21.47,166.8,85,14.18,187.8,135,8.45,9.4,2,2.54,3,FALSE
Cust_42,135,408,383-6029,yes,Yes,24,133.2,"""N/A""",29.43,203.9,107,17.33,122.2,78,5.5,14.6,15,3.94,0,TRUE
Cust_43,34,510,353-7289,no,No,0,191.9,"""N/A""",21.22,282.2,98,23.99,311.5,78,14.02,10,4,2.7,2,FALSE
Cust_44,160,415,390-7274,no,No,0,220.6,"""N/A""",14.59,165.3,110,14.05,178.5,92,8.03,9.2,4,2.48,3,FALSE
Cust_45,64,510,352-1237,no,No,0,160.2,"""N/A""",26.18,225.8,118,19.19,265.3,86,11.94,3.5,3,0.95,1,FALSE
Cust_46,59,408,353-3061,no,No,0,151,"""N/A""",20.55,213,92,18.11,163.1,116,7.34,8.5,5,2.3,2,FALSE
Cust_47,65,415,363-5450,no,No,0,175.5,"""N/A""",35.92,162.6,122,13.82,134.7,118,6.06,13.2,5,3.56,3,FALSE
Cust_48,142,408,364-1995,no,No,0,126.9,"""N/A""",31.79,134.6,74,11.44,242.2,127,10.9,7.4,5,2,2,FALSE
Cust_49,119,415,398-1294,no,Yes,30,198.4,"""N/A""",27.05,231.3,117,19.66,143.2,91,6.44,8.8,3,2.38,5,TRUE
Cust_50,97,415,405-7146,no,No,0,229.3,"""N/A""",22.64,217.2,58,18.46,70.6,79,3.18,11,3,2.97,1,FALSE
Cust_51,52,408,413-4957,no,No,0,192.1,108,32.62,269.8,96,22.93,236.8,87,10.66,7.8,5,2.11,3,FALSE
Cust_52,60,408,420-5645,no,Yes,34,268.6,57,37.5,211.1,115,17.94,249,129,11.21,6.8,3,1.84,1,FALSE
Cust_53,10,408,349-4396,no,Yes,28,180.7,112,31.64,190.2,66,16.17,282.8,57,12.73,11.4,6,3.08,2,FALSE
Cust_54,96,415,404-3211,no,No,0,131.2,117,27.23,267.5,67,22.74,228.5,68,10.28,9.3,5,2.51,2,FALSE
Cust_55,87,415,353-3759,no,Yes,41,148.1,83,25.67,219.7,116,18.67,203.9,127,9.18,9.7,3,2.62,5,TRUE
Cust_56,81,408,363-5947,no,No,0,251.5,67,29.84,249.3,85,21.19,270.2,98,12.16,10.2,3,2.75,1,FALSE
Cust_57,141,415,340-5121,no,No,0,125.2,98,21.57,180,62,15.3,140.8,128,6.34,8,2,2.16,1,FALSE
Cust_58,121,408,370-7574,no,No,0,211.6,129,33.73,75.3,77,6.4,181.2,77,8.15,5.8,3,1.57,3,TRUE
Cust_59,68,415,403-9733,no,No,0,178.9,70,25.3,246.5,164,20.95,129.8,103,5.84,12.1,3,3.27,3,FALSE
Cust_60,125,408,355-7251,no,No,0,241.8,:,38.98,177.4,126,15.08,189.3,95,8.52,12,8,3.24,1,FALSE
Cust_61,174,408,359-5893,no,Yes,46,224.9,:,32.66,169.9,94,14.44,166.6,54,7.5,11.4,4,3.08,1,FALSE
Cust_62,116,415,405-3371,no,No,0,248.6,:,45.66,178.2,142,15.15,166.3,106,7.48,11.6,3,3.13,2,FALSE
Cust_63,74,510,344-5117,no,No,0,203.4,:,32.93,246.1,96,20.92,138,92,6.21,14.6,3,3.94,2,FALSE
Cust_64,149,408,332-8160,no,No,0,157.1,:,30.72,187.8,64,15.96,265.5,53,11.95,12.6,3,3.4,3,FALSE
Cust_65,38,408,359-4081,no,No,0,300.3,:,22.3,162.9,97,13.85,159,106,7.15,8.2,6,2.21,2,FALSE
Cust_66,40,415,352-8305,no,No,0,61.6,:,25.18,169.5,88,14.41,214.1,102,9.63,6.2,5,1.67,2,FALSE
Cust_67,43,415,329-9847,yes,No,0,170.2,:,42.76,212.8,104,18.09,157.8,67,7.1,9.3,4,2.51,0,FALSE
Cust_68,113,408,365-9011,yes,No,0,201.1,:,21.28,206.4,119,17.54,129.3,139,5.82,8.3,8,2.24,0,FALSE
Cust_69,126,408,338-9472,no,No,0,215.4,:,35.97,216.9,80,18.44,153.5,60,6.91,7.8,1,2.11,1,FALSE
Cust_70,150,510,374-8042,no,Yes,25,165.6,:,30.41,169.1,110,14.37,148.6,100,6.69,13.8,3,3.73,4,TRUE
Cust_71,138,408,359-1231,no,Yes,24,249.5,:,41.11,170.5,83,14.49,295.3,104,13.29,11.8,7,3.19,3,FALSE
Cust_72,162,510,413-7170,no,No,0,210.6,:,38.23,188.2,84,16,254.6,61,11.46,12.1,2,3.27,0,FALSE
Cust_73,147,510,415-2935,no,No,0,157.9,:,42.26,148.9,85,12.66,172.5,109,7.76,8,4,2.16,3,FALSE
Cust_74,90,415,399-4246,no,No,0,214.3,:,34.58,226.7,117,19.27,152.4,105,6.86,7.3,4,1.97,1,FALSE
Cust_75,85,415,362-5889,no,Yes,35,154.1,:,40.09,157.2,94,13.36,188.2,99,8.47,12,3,3.24,0,FALSE
Cust_76,50,415,350-8921,no,No,0,237.9,:,26.71,223.3,72,18.98,181.4,111,8.16,6.1,2,1.65,1,FALSE
Cust_77,82,415,374-5353,no,No,0,143.9,109,51.05,181,100,15.39,270.1,73,12.15,11.7,4,3.16,0,TRUE
Cust_78,144,408,360-1171,no,No,0,124.3,117,10.47,77.1,85,6.55,173,99,7.79,8.2,7,2.21,4,TRUE
Cust_79,46,415,355-8887,no,No,0,252.9,72,36.4,164.4,104,13.97,177.5,113,7.99,8.2,3,2.21,2,FALSE
Cust_80,70,408,333-1967,no,No,0,179.1,98,28.93,155.2,.,13.19,228.6,76,10.29,15,2,4.05,1,FALSE
Cust_81,144,415,354-4577,no,No,0,278.4,99,34.19,303.5,.,25.8,224,119,10.08,13.2,2,3.56,1,FALSE
Cust_82,116,415,331-7425,yes,No,0,198.2,104,36.62,204.8,.,17.41,278.5,109,12.53,12.6,5,3.4,3,FALSE
Cust_83,55,408,419-2637,no,No,0,212.1,123,28.15,136.1,.,11.57,175.7,90,7.91,11,2,2.97,3,FALSE
Cust_84,70,415,411-1530,no,Yes,21,161.2,101,42.42,259.7,.,22.07,222.7,68,10.02,9.8,4,2.65,1,FALSE
Cust_85,106,510,395-3026,no,No,0,151.7,96,35.8,249.2,.,21.18,191.4,88,8.61,12.4,1,3.35,2,TRUE
Cust_86,128,510,388-6441,no,No,0,170.5,104,30.48,225.9,.,19.2,323,78,14.54,8.6,7,2.32,0,FALSE
Cust_87,94,408,402-1251,no,No,0,238.1,105,26.84,155,.,13.18,189.6,84,8.53,8,5,2.16,4,TRUE
Cust_88,111,510,412-9997,no,Yes,21,117.9,118,36.43,208.5,.,17.72,182.4,98,8.21,12,2,3.24,1,FALSE
Cust_89,74,415,346-7302,no,No,0,229.8,104,26.2,123.4,.,10.49,202.1,57,9.09,10.9,9,2.94,2,FALSE
Cust_90,128,415,358-9095,no,No,0,165,125,40.44,247.6,.,21.05,208.9,68,9.4,13.9,4,3.75,1,TRUE
Cust_91,82,510,400-9770,no,No,0,185,61,24.46,194.9,.,16.57,109.6,94,4.93,11.1,2,3,1,FALSE
Cust_92,155,415,334-1275,no,No,0,161,100,34.58,190.9,.,16.23,196,119,8.82,8.9,4,2.4,0,TRUE
Cust_93,80,415,340-4953,no,No,0,126.7,100,21.13,173,.,14.71,253.2,62,11.39,7.9,9,2.13,1,FALSE
Cust_94,78,415,400-9510,no,Yes,42,196.8,93,42.99,178.4,112,15.16,263.9,105,11.88,9.5,7,2.57,3,FALSE
Cust_95,90,415,387-6103,no,No,0,162.6,71,30.45,190.6,81,16.2,127.7,91,5.75,10.6,7,2.86,3,FALSE
Cust_96,104,408,366-4467,no,No,0,282.5,106,47.33,81,113,6.89,163.2,137,7.34,9.8,5,2.65,1,FALSE
Cust_97,73,415,370-3450,no,Yes,36,113.7,110,27.22,213.3,72,18.13,174.1,72,7.83,13,4,3.51,0,FALSE
Cust_98,99,415,327-3954,no,No,0,210.2,87,33.69,207.3,76,17.62,190.9,113,8.59,8.7,3,2.35,4,FALSE
Cust_99,120,408,355-6291,no,Yes,22,213.8,131,36.06,209.4,104,17.8,167.2,96,7.52,5.3,5,1.43,1,TRUE
Cust_100,77,415,362-9748,no,No,0,190.7,72,42.81,205.7,126,17.48,275.2,109,12.38,9.8,7,2.65,2,TRUE
Cust_101,98,510,379-6506,no,No,0,170.9,114,27.4,252.2,83,21.44,160.2,92,7.21,4.4,8,1.19,4,FALSE
Cust_102,108,415,347-7741,no,No,0,154.2,137,30.31,189,76,16.07,129.1,102,5.81,14.6,5,3.94,0,FALSE
Cust_103,135,415,354-3783,no,No,0,201.4,82,25.79,119,105,10.12,180,100,8.1,10.5,6,2.84,0,FALSE
Cust_104,95,408,401-7594,no,No,0,70.7,99,22.95,183.6,106,15.61,245.3,102,11.04,12.5,9,3.38,1,FALSE
Cust_105,122,408,397-4976,no,Yes,27,187.5,94,28.99,173.7,109,14.76,248.6,75,11.19,11.3,2,3.05,1,FALSE
Cust_106,95,408,334-2577,no,No,0,91.7,65,40.48,187.2,98,15.91,190,115,8.55,11.8,4,3.19,4,FALSE
Cust_107,36,510,400-3637,no,Yes,36,214.2,102,47.84,202.2,76,17.19,187.2,113,8.42,9,6,2.43,2,FALSE
Cust_108,93,510,383-4361,no,No,0,145.5,131,20.04,164.5,115,13.98,217,86,9.76,9.8,3,2.65,1,FALSE
Cust_109,141,415,371-4306,no,No,0,231,91,25.26,131.1,97,11.14,219.4,142,9.87,10.1,1,2.73,1,FALSE
Cust_110,157,408,403-4298,no,No,0,200.3,90,39.07,147.9,121,12.57,241.4,108,10.86,9.6,7,2.59,3,FALSE
Cust_111,120,408,409-3786,no,No,0,197,100,28.05,317.2,83,26.96,119.2,86,5.36,8.3,8,2.24,1,FALSE
Cust_112,103,415,337-4697,no,No,0,129.9,117,31.45,223.3,94,18.98,222.8,91,10.03,12.6,2,3.4,2,FALSE
Cust_113,98,408,383-1509,no,Yes,21,175.8,117,27.37,190.9,113,16.23,227.7,113,10.25,12.1,4,3.27,4,FALSE
Cust_114,125,408,359-9794,no,No,0,203.1,108,21.54,206,90,17.51,247.8,114,11.15,13.3,7,3.59,1,FALSE
Cust_115,63,415,407-7035,no,Yes,36,183.2,125,10.01,169.6,59,14.42,211.4,88,9.51,9.4,3,2.54,1,FALSE
Cust_116,36,510,363-1069,yes,Yes,23,205,89,33.46,254.9,122,21.67,138.3,126,6.22,20,6,5.4,0,TRUE
Cust_117,64,510,391-4652,no,No,0,148.5,83,27.64,152.3,109,12.95,57.5,122,2.59,14.2,3,3.83,1,FALSE
Cust_118,74,415,355-6837,no,Yes,39,200.3,114,48.03,219.9,48,18.69,170,115,7.65,9.4,4,2.54,1,TRUE
Cust_119,112,510,409-1244,no,Yes,28,192.6,117,19.33,157.5,82,13.39,177.6,118,7.99,10,3,2.7,2,FALSE
Cust_120,97,408,328-3266,no,No,0,246.5,125,40.77,214.8,111,18.26,143.3,81,6.45,8.7,5,2.35,2,FALSE
Cust_121,46,408,352-7072,no,No,0,167.1,92,35.73,227.3,77,19.32,200.1,116,9,13.1,7,3.54,1,FALSE
Cust_122,41,408,370-7550,no,No,0,231.9,102,36.35,141.8,86,12.05,142.2,123,6.4,7.2,3,1.94,0,FALSE
Cust_123,121,510,369-5526,no,No,0,271.5,103,32.42,183.5,117,15.6,220.8,103,9.94,9.8,4,2.65,3,FALSE
Cust_124,193,415,329-4391,no,Yes,43,257.7,124,29.05,132.3,95,11.25,112.9,89,5.08,11.6,3,3.13,1,FALSE
Cust_125,130,510,408-4195,no,No,0,193.8,119,26.21,110.2,98,9.37,227.4,117,10.23,9.2,5,2.48,2,FALSE
Cust_126,85,408,354-4445,no,No,0,226,52,34.24,229.4,104,19.5,252.5,106,11.36,12,3,3.24,1,FALSE
Cust_127,162,415,335-4858,no,No,0,260.4,108,12.02,157.5,87,13.39,154.8,82,6.97,9.1,3,2.46,4,TRUE
Cust_128,61,510,414-8718,no,No,0,178.7,124,31.88,146.6,103,12.46,225.7,129,10.16,6.4,6,1.73,4,TRUE
Cust_129,92,408,409-5939,no,No,0,337.4,90,15.59,193.7,123,16.46,175,86,7.88,9.2,4,2.48,2,FALSE
Cust_130,131,408,331-4902,no,Yes,23,157.6,115,36.41,161.7,117,13.74,264.7,102,11.91,9.5,4,2.57,3,FALSE
Cust_131,90,415,353-6870,no,Yes,24,142.1,92,24.74,217.7,114,18.5,146.9,123,6.61,10.9,2,2.94,3,FALSE
Cust_132,75,408,355-2909,no,No,0,136.3,125,28.27,158.2,86,13.45,256.7,80,11.55,6.1,5,1.65,1,FALSE
Cust_133,78,415,390-6101,no,No,0,217.1,115,39.27,230.4,140,19.58,261.4,120,11.76,9.5,3,2.57,1,FALSE
Cust_134,82,408,400-3446,no,Yes,36,187.5,96,34.05,201.2,102,17.1,206.1,60,9.27,7.1,1,1.92,4,FALSE
Cust_135,163,408,411-5859,no,No,0,98.9,109,33.49,202.6,128,17.22,206.4,80,9.29,9.1,10,2.46,1,FALSE
Cust_136,91,510,387-2919,yes,No,0,206.3,112,22.08,173.3,83,14.73,247.2,130,11.12,11.2,3,3.02,3,FALSE
Cust_137,75,415,374-8525,no,Yes,33,243.1,97,29.89,217.5,106,18.49,237.5,134,10.69,5.3,4,1.43,5,FALSE
Cust_138,91,510,379-5592,no,Yes,31,189.8,106,34.53,210.1,113,17.86,195.6,129,8.8,12,3,3.24,3,FALSE
Cust_139,127,510,345-8237,no,No,0,202,117,31.14,126.8,76,10.78,263.3,71,11.85,11.2,8,3.02,1,FALSE
Cust_140,113,415,422-6690,no,Yes,38,170.1,101,34.85,152,60,12.92,158.6,59,7.14,10.2,5,2.75,2,FALSE
Cust_141,110,510,346-2359,no,No,0,237.1,115,25.25,276.4,84,23.49,193.6,112,8.71,12.4,3,3.35,1,FALSE
Cust_142,120,415,374-3534,no,No,0,219.2,68,34.05,220.4,97,18.73,253.8,116,11.42,10.5,4,2.84,0,FALSE
Cust_143,157,415,381-4756,no,No,0,252.6,107,32.74,195.5,74,16.62,109.7,139,4.94,6.8,5,1.84,3,FALSE
Cust_144,103,510,390-2805,no,No,0,147.1,47,41.91,195.5,84,16.62,200.5,96,9.02,11.7,4,3.16,1,FALSE
Cust_145,117,408,390-2390,yes,No,0,173.5,86,28.41,177.5,87,15.09,249.4,132,11.22,14.1,7,3.81,2,TRUE
Cust_146,140,415,419-9097,no,No,0,232.1,101,39.42,160.1,94,13.61,110.4,98,4.97,14.3,6,3.86,3,FALSE
Cust_147,127,408,386-7281,no,Yes,23,197.1,91,24.94,203.5,78,17.3,203.4,110,9.15,13.7,3,3.7,1,FALSE
Cust_148,83,408,380-3561,yes,No,0,58.2,87,46.16,216.3,126,18.39,121.1,105,5.45,11.7,4,3.16,1,FALSE
Cust_149,121,408,390-8760,no,Yes,36,115.6,121,30.86,218.4,98,18.56,161.6,103,7.27,8.5,5,2.3,1,FALSE
Cust_150,145,408,366-6730,no,No,0,186.1,97,43.81,162.1,95,13.78,286.9,86,12.91,11.1,4,3,2,FALSE
Cust_151,113,408,395-5285,no,No,0,259.9,99,32.95,221.4,125,18.82,172.3,67,7.75,10.6,6,2.86,1,FALSE
Cust_152,117,415,354-3436,no,No,0,214.3,119,17.48,206.7,91,17.57,299,105,13.46,10.1,7,2.73,1,FALSE
Cust_153,65,408,336-7600,no,No,0,158.7,116,31.94,157.6,117,13.4,227.3,86,10.23,7.5,6,2.03,1,FALSE
Cust_154,56,415,383-6293,no,No,0,160.6,112,38.42,248.5,118,21.12,140.5,142,6.32,6.9,11,1.86,1,FALSE
Cust_155,96,415,362-4596,no,No,0,232.4,115,44.27,146,46,12.41,269.5,87,12.13,11.5,4,3.11,5,FALSE
Cust_156,151,408,401-3926,no,No,0,133.8,116,30.38,292.1,138,24.83,265.9,101,11.97,9.8,4,2.65,0,FALSE
Cust_157,83,415,370-9116,no,No,0,176.9,120,57.36,227.4,116,19.33,153.9,114,6.93,15.8,7,4.27,0,TRUE
Cust_158,139,510,328-6289,no,No,0,209.9,129,26.79,247,96,21,259.2,112,11.66,13.7,2,3.7,0,FALSE
Cust_159,6,510,350-9994,no,No,0,137.5,117,31.21,256.7,72,21.82,178.6,79,8.04,10.2,2,2.75,1,FALSE
Cust_160,115,510,351-4616,no,Yes,23,289.5,124,24.16,183.4,129,15.59,164.8,114,7.42,9.6,4,2.59,1,FALSE
Cust_161,87,415,360-5779,no,Yes,23,198.1,97,23.17,172.2,108,14.64,137.5,101,6.19,7.1,5,1.92,0,FALSE
Cust_162,141,415,417-4885,no,No,0,149.7,110,36.91,241.5,111,20.53,253.5,103,11.41,12,6,3.24,0,FALSE
Cust_163,141,510,406-4710,no,Yes,26,292.9,99,31.88,241.4,116,20.52,229.5,105,10.33,10.5,5,2.84,3,FALSE
Cust_164,62,415,409-8743,no,No,0,83,103,16.81,135.4,122,11.51,236.6,82,10.65,12.2,1,3.29,1,FALSE
Cust_165,146,415,335-4584,no,Yes,24,145.7,151,35.07,148.6,89,12.63,167.2,91,7.52,6.1,3,1.65,1,FALSE
Cust_166,92,415,361-9845,no,No,0,182.3,92,41.33,213.8,92,18.17,228.7,104,10.29,12.1,2,3.27,2,FALSE
Cust_167,185,510,366-5699,no,No,0,218,126,32.27,163.3,133,13.88,264.8,126,11.92,7.5,3,2.03,1,FALSE
Cust_168,148,415,329-9364,no,No,0,140.6,102,34.34,243.2,128,20.67,261.3,90,11.76,10.9,3,2.94,1,FALSE
Cust_169,94,408,390-7434,no,No,0,152.7,124,28.92,193.3,116,16.43,105.9,73,4.77,12.8,4,3.46,1,FALSE
Cust_170,32,510,404-9680,no,Yes,36,106.7,87,39.25,187.4,90,15.93,154,53,6.93,6.3,2,1.7,0,FALSE
Cust_171,68,408,338-9398,no,No,0,194.4,105,40.31,223.5,105,19,97.4,79,4.38,13.2,2,3.56,1,FALSE
Cust_172,64,408,394-2445,no,No,0,213.9,91,30.96,169.7,98,14.42,164.7,86,7.41,10.6,5,2.86,2,FALSE
Cust_173,25,415,381-2709,no,No,0,217.2,87,20.28,211.5,101,17.98,268.9,86,12.1,10.5,4,2.84,3,FALSE
Cust_174,65,415,397-5060,no,No,0,203.5,87,19.86,178.9,93,15.21,182.4,150,8.21,14.1,2,3.81,1,FALSE
Cust_175,179,408,415-2393,no,Yes,24,155.2,92,37.26,149.4,125,12.7,244.7,104,11.01,6.1,5,1.65,0,FALSE
Cust_176,94,415,377-1765,no,Yes,31,167.6,104,42.94,169,125,14.37,170.9,106,7.69,11.1,7,3,2,FALSE
Cust_177,62,415,409-2111,no,No,0,226.7,91,25.01,190.4,107,16.18,195.2,115,8.78,12.2,3,3.29,0,FALSE
Cust_178,127,415,401-3170,no,No,0,179.3,103,34.36,229.4,86,19.5,195.2,113,8.78,11.5,3,3.11,2,FALSE
Cust_179,116,408,405-5681,no,No,0,151.4,93,29.5,194.1,76,16.5,208,112,9.36,16.2,10,4.37,3,FALSE
Cust_180,70,408,411-4582,no,No,0,180,122,39.46,292.3,112,24.85,201.2,112,9.05,0,0,0,3,FALSE
Cust_181,94,510,355-5009,yes,No,0,250.2,125,33.51,214.5,136,18.23,282.2,103,12.7,9.5,5,2.57,4,FALSE
Cust_182,126,415,372-3750,no,No,0,223,94,9.89,138.7,118,11.79,136.8,91,6.16,11.9,1,3.21,5,TRUE
Cust_183,67,408,405-2888,no,No,0,183.6,111,19.65,237.7,94,20.2,169.9,103,7.65,9.9,12,2.67,2,FALSE
Cust_184,19,408,361-3337,no,Yes,22,166,98,31.64,254.3,57,21.62,214,127,9.63,14.6,7,3.94,2,FALSE
Cust_185,170,510,350-1639,yes,No,0,149.3,68,44.18,245,122,20.83,134.4,121,6.05,8.4,3,2.27,3,FALSE
Cust_186,73,415,333-3221,no,No,0,65.4,145,36.43,268.5,135,22.82,241.2,92,10.85,10.8,13,2.92,1,FALSE
Cust_187,106,408,422-1471,no,No,0,206.9,74,26.98,64.3,139,5.47,198.5,103,8.93,10.2,4,2.75,1,FALSE
Cust_188,93,415,399-7865,no,Yes,27,186.2,71,46.17,229.4,108,19.5,77.3,121,3.48,10.9,3,2.94,2,FALSE
Cust_189,164,510,373-4819,no,Yes,23,280.2,111,27.3,163.2,126,13.87,187.1,112,8.42,9,3,2.43,1,FALSE
Cust_190,51,408,338-6981,no,No,0,312,109,39.51,187.4,95,15.93,231.2,107,10.4,9.1,3,2.46,1,FALSE
Cust_191,107,415,418-4365,no,Yes,36,199,85,22.75,180.5,94,15.34,112.2,115,5.05,8.9,4,2.4,0,FALSE
Cust_192,130,415,359-5461,no,No,0,203.1,109,30.07,90.7,104,7.71,238,69,10.71,9.5,2,2.57,1,FALSE
Cust_193,80,408,375-3586,no,No,0,168.8,74,35.68,195.1,77,16.58,208.2,119,9.37,8.8,4,2.38,2,FALSE
Cust_194,94,415,407-8376,no,No,0,173.1,118,23.38,203.2,88,17.27,150,131,6.75,13.4,2,3.62,0,FALSE
Cust_195,118,408,408-6496,no,Yes,40,202.6,52,49.22,166.6,111,14.16,119.1,88,5.36,9.5,4,2.57,1,FALSE
Cust_196,117,415,385-7688,no,No,0,74.5,86,33.68,177,86,15.05,180.5,92,8.12,6.8,6,1.84,1,FALSE
Cust_197,78,415,332-6934,no,No,0,192.2,119,25.45,182.2,115,15.49,261.5,126,11.77,9.7,8,2.62,0,FALSE
Cust_198,208,510,378-3625,no,No,0,220.2,67,55.51,176.3,113,14.99,181.7,102,8.18,10.7,6,2.89,2,TRUE
Cust_199,131,510,353-7292,yes,No,0,135.1,101,49.79,199.7,97,16.97,255.3,127,11.49,13.8,7,3.73,4,TRUE
Cust_200,63,408,399-6786,no,No,0,253.4,64,14.11,177,106,15.05,245.7,89,11.06,13,3,3.51,0,FALSE
Cust_201,53,415,358-3261,no,No,0,225,146,24.77,220.5,136,18.74,249.9,96,11.25,13.1,5,3.54,3,FALSE
